zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,total_reviews,availability_365
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,5.0,414,-97.73782,30.257,6,364
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.83,412,-97.73969,30.25708,24,342
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.87,405,-97.73919,30.25534,15,347
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.75,400,-97.73941,30.25573,8,353
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,5.0,397,-97.73788,30.25532,1,338
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.72,391,-97.73772,30.25711,18,339
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.5,390,-97.73987,30.25619,22,339
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.68,387,-97.73999,30.25727,19,321
78701,Rainey Street Historic District,Entire condo,Entire home/apt,7,2,4,2,5.0,386,-97.73795,30.25746,15,262
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.7,377,-97.73781,30.25703,20,333
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,5.0,376,-97.73797,30.25693,11,321
78701,Rainey Street Historic District,Entire condo,Entire home/apt,5,2,3,1,4.83,373,-97.73776,30.25572,29,287
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.94,373,-97.73857,30.25549,18,344
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.86,372,-97.74001,30.25562,22,285
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.71,370,-97.7378,30.25736,14,315
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.83,367,-97.73765,30.25559,12,332
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.63,364,-97.73772,30.25688,16,312
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.9,363,-97.7399,30.25716,30,281
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,5.0,358,-97.73801,30.25604,1,364
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.86,336,-97.73792,30.25586,21,349
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,2,5.0,331,-97.73806,30.25765,4,364
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,5.0,315,-97.73997,30.25693,18,332
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.72,312,-97.73992,30.25724,29,364
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.85,304,-97.73779,30.25666,33,282
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.85,298,-97.73995,30.25608,20,356
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,2,3,1,4.84,297,-97.73913,30.25764,43,287
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.75,296,-97.73804,30.25719,12,336
78701,Rainey Street Historic District,Entire condo,Entire home/apt,2,1,1,1,4.82,294,-97.73949,30.25541,22,365
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.5,292,-97.73794,30.25572,14,335
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.59,289,-97.73945,30.25713,17,347
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.84,288,-97.73775,30.2554,19,331
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.86,288,-97.73817,30.25752,37,245
