id,host_id,zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,availability_365
763761118677816549,12761140,78721,Mueller,Entire home,Entire home/apt,13,4.0,7.0,2,4.88,348,-97.69172,30.28083,278
5297978,12775709,78704,Travis Heights,Entire home,Entire home/apt,5,3.0,3.0,1,5.0,425,-97.73958,30.2393,0
2496308,12778060,78702,Rosewood,Private room in home,Private room,2,1.0,1.0,2,4.93,100,-97.70351,30.27797,0
23238849,12789161,78703,Old West Austin,Entire condo,Entire home/apt,2,1.0,1.0,2,4.74,302,-97.76134,30.27443,306
28127459,12789161,78701,Old West Austin,Entire condo,Entire home/apt,2,1.0,1.0,2,4.84,112,-97.74538,30.28012,306
2501145,12801923,78723,Windsor Park,Private room in home,Private room,2,1.0,1.0,1,4.93,200,-97.68729,30.31681,0
48567289,12803462,78702,Chestnut,Entire home,Entire home/apt,7,3.0,4.0,2,4.94,425,-97.70399,30.2785,0
2501888,12806524,78746,Westlake Hills,Private room in home,Private room,2,1.0,1.0,2,4.76,91,-97.81032,30.28626,360
2502288,12808722,78705,University of Texas,Private room in rental unit,Private room,2,1.0,1.0,2,4.0,115,-97.74621,30.29676,0
636971600472005039,12812402,78704,Bouldin Creek,Entire guesthouse,Entire home/apt,2,1.0,1.0,2,4.97,238,-97.75093,30.24981,279
17268492,12828870,78705,University of Texas,Entire rental unit,Entire home/apt,2,1.0,1.0,2,5.0,190,-97.73396,30.2914,0
5430429,12830900,78702,East Downtown,Entire rental unit,Entire home/apt,3,1.0,1.0,2,3.0,375,-97.72352,30.27468,0
2509594,12846473,78703,West Austin,Entire home,Entire home/apt,4,2.0,2.0,1,4.93,400,-97.77617,30.28341,0
52454568,12849520,78756,Brentwood,Private room in home,Private room,3,1.0,1.0,1,4.89,105,-97.73729,30.32167,31
2512706,12862327,78751,Hyde Park,Private room in home,Private room,2,1.0,1.0,1,4.93,200,-97.73021,30.3113,0
50272036,12863112,78746,Camelot,Entire guesthouse,Entire home/apt,2,1.0,1.0,1,4.91,101,-97.83479,30.29242,323
771646206437093352,12863770,78756,Brentwood,Tiny home,Entire home/apt,2,1.0,1.0,1,5.0,240,-97.73721765755032,30.320686305867213,187
4774398,12864396,78731,"Northwest Hills, Balcones Park",Entire home,Entire home/apt,16,5.0,14.0,3,4.61,805,-97.75754,30.32853,328
4202378,12868923,78756,Allendale,Entire home,Entire home/apt,4,1.0,2.0,2,5.0,154,-97.74235,30.32313,280
31410509,12881572,78759,Balcones Civic Association,Entire guesthouse,Entire home/apt,4,2.0,2.0,7,4.97,125,-97.74369,30.37455,173
42248745,12883370,78747,"Onion Creek, Bluff Springs",Entire home,Entire home/apt,4,2.0,2.0,3,4.0,399,-97.74616,30.15032,362
2521443,12908793,78741,East Riverside,Entire rental unit,Entire home/apt,4,2.0,2.0,28,4.93,165,-97.73383,30.24093,0
811699236089274776,12909244,78741,East Riverside - Oltorf,Entire home,Entire home/apt,4,2.0,2.0,1,5.0,147,-97.71053590437924,30.232678483765035,73
5115219,12912851,78722,East Austin,Entire home,Entire home/apt,8,3.0,5.0,1,4.98,185,-97.7187,30.28093,0
14536507,12923614,78745,East Congress,Private room in home,Private room,2,1.0,1.0,2,4.84,99,-97.76091,30.21115,365
2524101,12923614,78745,East Congress,Private room in home,Private room,1,1.0,1.0,1,4.87,110,-97.76242,30.2123,365
